num_sentences	num_unique_words
17	100
21	126
15	90
28	163
31	128
16	74
31	146
40	134
36	143
27	137
23	142
25	99
6	76
25	86
14	64
36	172
19	77
16	106
7	34
12	62
21	118
2	19
31	138
40	162
17	80
23	102
8	36
29	121
24	103
16	72
35	156
37	140
13	57
27	110
34	108
25	149
32	164
18	106
23	139
16	65
3	16
14	75
9	50
29	57
21	87
12	61
19	105
34	139
28	85
4	38
14	135
16	87
28	108
31	140
12	64
23	171
24	97
15	58
23	124
7	29
24	84
15	73
18	66
6	57
25	118
26	124
21	86
34	128
19	77
29	132
22	118
26	165
21	111
30	83
22	124
20	76
48	147
33	100
19	83
22	132
17	90
24	87
10	65
11	42
32	126
29	141
40	138
20	108
30	53
10	64
16	67
52	167
23	199
26	90
37	132
16	88
22	110
35	140
21	107
18	66
41	145
27	80
19	103
22	101
35	135
31	136
53	158
22	106
25	78
13	77
37	176
30	145
29	98
25	120
30	127
5	26
26	86
29	135
38	166
21	98
18	109
30	129
30	126
10	64
1	51
11	88
24	123
31	137
27	109
40	164
25	133
26	146
45	142
25	114
12	87
42	161
9	80
25	131
13	50
31	112
34	170
25	119
19	95
32	115
25	139
3	53
40	210
18	88
21	91
25	90
8	82
12	40
29	101
34	130
29	130
30	95
30	142
27	120
38	140
22	72
31	95
30	177
23	89
10	83
31	139
33	186
21	91
17	123
11	63
22	88
6	65
6	69
13	83
25	136
22	104
21	127
24	97
21	94
24	83
31	107
31	138
18	68
27	112
17	82
29	108
23	72
4	38
24	121
21	43
24	119
17	68
40	128
30	116
35	173
10	45
29	97
26	135
24	132
40	200
28	90
27	142
29	114
27	123
34	98
48	198
26	128
26	84
11	38
9	61
27	127
13	47
21	68
21	74
15	116
29	167
21	119
40	140
27	122
24	121
38	149
19	68
28	136
15	120
21	96
44	167
20	63
28	109
11	73
25	86
32	118
24	88
37	187
10	101
33	110
20	89
11	68
18	106
14	101
22	89
20	89
13	84
31	109
35	143
15	98
7	51
45	200
29	120
41	110
24	82
25	99
28	165
27	105
15	58
32	171
24	107
16	89
21	104
27	135
28	145
31	96
31	109
13	70
31	156
19	96
37	151
26	108
24	156
18	87
22	124
27	102
21	88
40	157
12	94
28	117
28	117
18	78
24	132
23	94
35	130
35	125
17	50
21	92
12	71
16	85
30	193
5	28
33	157
27	88
22	130
30	188
33	152
37	179
18	60
27	118
26	103
24	109
30	143
27	74
22	71
39	154
30	111
46	167
29	127
27	125
27	112
32	129
27	118
3	33
18	122
18	110
28	99
21	55
22	128
23	138
30	159
34	141
21	105
30	114
13	120
30	183
17	91
28	110
21	107
19	112
42	204
27	78
31	106
19	77
37	153
36	154
21	106
31	107
46	173
17	97
37	183
25	113
10	50
25	151
30	122
16	87
28	136
28	108
18	145
33	196
13	77
16	91
16	89
28	89
34	115
12	50
10	29
20	67
14	51
23	110
18	89
8	61
2	3
12	61
45	150
29	135
11	103
33	163
29	152
25	105
18	110
22	95
19	77
34	194
25	93
34	116
20	89
10	134
5	38
18	129
31	158
32	131
29	121
19	89
37	135
22	76
31	135
16	72
38	181
25	104
20	114
19	92
21	108
23	114
34	152
29	100
25	95
14	40
11	60
13	77
37	198
21	157
21	131
23	119
9	58
22	91
32	112
20	127
38	175
14	113
30	87
17	87
17	78
17	105
29	165
34	133
24	117
24	85
26	88
15	51
11	84
35	158
21	53
18	85
12	60
13	98
30	122
31	129
24	113
23	135
38	157
12	83
32	111
44	142
30	149
27	84
36	157
13	106
33	202
25	118
26	97
26	73
17	116
18	62
26	103
25	101
9	76
20	117
13	45
26	129
37	161
22	152
1	10
18	67
26	92
11	42
35	97
28	120
3	35
15	93
32	160
16	90
14	102
35	137
32	90
19	125
30	147
16	61
25	108
20	108
22	100
10	69
24	145
20	100
27	72
31	158
16	80
11	33
26	156
21	100
11	56
23	109
35	154
21	85
28	145
32	115
15	107
14	75
36	132
30	134
18	88
25	102
31	172
40	154
12	91
14	89
14	94
34	129
23	95
21	91
34	172
28	194
37	122
37	127
27	95
6	35
11	75
40	156
29	112
11	69
50	169
18	129
19	142
22	76
15	75
8	84
28	106
17	76
16	86
35	140
28	120
21	84
34	162
12	69
16	55
33	120
25	155
40	98
21	107
16	81
18	76
11	68
7	71
24	125
34	115
24	117
28	123
46	220
19	73
23	77
22	101
17	74
10	90
21	82
35	114
42	183
33	92
19	111
2	8
7	59
24	79
25	135
19	110
40	184
20	90
14	39
23	103
20	104
34	177
35	138
38	161
24	165
26	148
19	117
21	92
32	152
15	70
26	110
28	141
20	83
12	68
27	127
18	84
26	125
24	120
30	187
39	174
29	73
24	142
21	122
7	47
16	70
23	89
32	111
30	100
36	137
21	127
16	133
45	186
21	96
33	114
33	174
7	38
14	43
24	109
28	88
23	124
17	64
16	98
7	55
33	128
21	103
24	147
3	49
16	80
11	71
44	219
21	99
5	59
23	133
27	123
18	118
9	77
17	92
15	93
33	135
27	93
20	75
27	124
10	92
23	108
34	149
36	203
18	45
4	52
21	82
8	57
23	89
24	136
12	69
13	54
19	94
37	139
26	118
15	57
22	130
23	102
3	57
43	148
19	103
28	97
19	107
8	69
15	93
19	63
31	117
36	150
22	117
28	88
16	88
19	105
23	52
18	72
31	143
25	97
19	73
20	74
35	151
14	75
17	97
27	89
21	96
25	142
31	156
16	96
10	65
22	101
27	120
15	67
20	121
19	97
36	126
28	94
20	105
16	81
26	125
9	34
20	61
16	118
12	73
13	83
25	118
24	96
20	126
22	94
36	153
43	144
25	96
22	124
27	113
24	99
15	100
23	111
28	104
6	62
4	39
12	85
25	96
24	97
17	93
26	90
7	70
45	232
17	76
34	107
8	34
21	118
13	66
29	103
36	103
15	94
22	114
36	130
29	123
22	148
23	90
23	97
26	128
14	43
26	81
30	80
30	153
18	72
27	140
22	133
40	195
32	147
20	75
9	59
24	107
9	60
21	80
17	68
30	173
26	140
18	92
9	36
35	132
24	145
26	131
28	125
11	88
29	110
20	101
17	112
42	145
28	163
21	101
15	130
24	106
16	70
28	113
39	138
17	104
19	82
12	59
10	69
24	139
30	160
13	90
26	154
23	89
26	118
20	100
16	87
37	135
25	80
31	150
21	76
10	76
26	68
18	87
32	179
26	102
23	121
33	148
28	148
20	120
25	68
7	61
46	160
25	133
19	95
20	114
30	129
36	166
15	77
31	175
23	87
25	103
22	110
16	94
7	74
28	117
19	84
26	111
